telefon adı,işletim sistemi,fiyat,bağlantı linki
Samsung Galaxy Note20 Ultra White Akıllı Telefon,Android,11.899 TL,https://www.teknosa.com/samsung-galaxy-note20-ultra-white-akilli-telefon-p-125077716
Samsung Galaxy Note20 Ultra Bronze Akıllı Telefon,Android,11.899 TL,https://www.teknosa.com/samsung-galaxy-note20-ultra-bronze-akilli-telefon-p-125077715
Samsung Galaxy Note20 Ultra Black Akıllı Telefon,Android,11.899 TL,https://www.teknosa.com/samsung-galaxy-note20-ultra-black-akilli-telefon-p-125077714
Xiaomi Redmi Note 8 4GB/64GB Mavi Akıllı Telefon,Android,3.099 TL,https://www.teknosa.com/xiaomi-redmi-note-8-4gb64gb-mavi-akilli-telefon-p-125077359
Xiaomi Redmi Note 9 Pro 6-128GB Gri Akıllı Telefon,Android,3.999 TL,https://www.teknosa.com/xiaomi-redmi-note-9-pro-6128gb-gri-akilli-telefon-p-125077611
Samsung Galaxy A71 128GB Siyah Akıllı Telefon,Android,3.899 TL,https://www.teknosa.com/samsung-galaxy-a71-128gb-siyah-akilli-telefon-p-125077512
Samsung Galaxy A51 White  Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/samsung-galaxy-a51-white-akilli-telefon-p-125077495
Samsung  Galaxy A31 Blue Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/samsung-galaxy-a31-blue-akilli-telefon-p-125077601
Huawei P40 Lite 128 GB Siyah Akıllı Telefon,Android,3.499 TL,https://www.teknosa.com/huawei-p40-lite-128-gb-siyah-akilli-telefon-p-125077583
Xiaomi Mi Note 10 Lite 6-128GB Siyah Akıllı Telefon,Android,4.599 TL,https://www.teknosa.com/xiaomi-mi-note-10-lite-6128gb-siyah-akilli-telefon-p-125077626
Samsung Galaxy A11 Black Akıllı Telefon,Android,2.299 TL,https://www.teknosa.com/samsung-galaxy-a11-black-akilli-telefon-p-125077674
Xiaomi Redmi Note 8 4GB/128GB Siyah Akıllı Telefon,Android,3.199 TL,https://www.teknosa.com/xiaomi-redmi-note-8-4gb128gb-siyah-akilli-telefon-p-125077361
Xiaomi Redmi Note 8 4GB/64GB Beyaz Akıllı Telefon,Android,3.099 TL,https://www.teknosa.com/xiaomi-redmi-note-8-4gb64gb-beyaz-akilli-telefon-p-125077360
Samsung Galaxy Note10 Lite Siyah Akıllı Telefon,Android,4.499 TL,https://www.teknosa.com/samsung-galaxy-note10-lite-siyah-akilli-telefon-p-125077528
Oppo A91 128GB Mavi Akıllı Telefon,Android,3.499 TL,https://www.teknosa.com/oppo-a91-128gb-mavi-akilli-telefon-p-125077549
Samsung Galaxy A51 Black Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/samsung-galaxy-a51-black-akilli-telefon-p-125077494
Samsung Galaxy A21s Black Akıllı Telefon,Android,2.679 TL,https://www.teknosa.com/samsung-galaxy-a21s-black-akilli-telefon-p-125077677
Samsung Galaxy Note10 Lite Glow Akıllı Telefon,Android,4.499 TL,https://www.teknosa.com/samsung-galaxy-note10-lite-glow-akilli-telefon-p-125077530
Xiaomi Redmi Note 9 Pro 6-128GB Beyaz Akıllı Telefon,Android,3.999 TL,https://www.teknosa.com/xiaomi-redmi-note-9-pro-6128gb-beyaz-akilli-telefon-p-125077610
Huawei P40 Lite 128 GB Yeşil Akıllı Telefon,Android,3.499 TL,https://www.teknosa.com/huawei-p40-lite-128-gb-yesil-akilli-telefon-p-125077582
Oppo A5S 3GB Ram 32GB Mavi Akıllı Telefon,Android,2.499 TL,https://www.teknosa.com/oppo-a5s-3gb-ram-32gb-mavi-akilli-telefon-p-125077212
Samsung Galaxy A71 128GB Mavi Akıllı Telefon,Android,3.899 TL,https://www.teknosa.com/samsung-galaxy-a71-128gb-mavi-akilli-telefon-p-125077511
Oppo A52 64GB Duru Beyaz Akıllı Telefon,Android,2.899 TL,https://www.teknosa.com/oppo-a52-64gb-duru-beyaz-akilli-telefon-p-125077635
Samsung Galaxy S20 128GB Mavi Akıllı Telefon,Android,6.499 TL,https://www.teknosa.com/samsung-galaxy-s20-128gb-mavi-akilli-telefon-p-125077520
Oppo A72 128GB Parlak Beyaz Akıllı Telefon,Android,3.179 TL,https://www.teknosa.com/oppo-a72-128gb-parlak-beyaz-akilli-telefon-p-125077637
Xiaomi Redmi Note 9 Pro 6-128GB Yeşil Akıllı Telefon,Android,3.999 TL,https://www.teknosa.com/xiaomi-redmi-note-9-pro-6128gb-yesil-akilli-telefon-p-125077612
Samsung Galaxy A71 128GB Gümüş Akıllı Telefon,Android,3.899 TL,https://www.teknosa.com/samsung-galaxy-a71-128gb-gumus-akilli-telefon-p-125077513
Huawei P Smart S 4-128GB Siyah Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/huawei-p-smart-s-4128gb-siyah-akilli-telefon-p-125077695
Huawei P40 Lite E 64GB Siyah Akıllı Telefon,Android,2.799 TL,https://www.teknosa.com/huawei-p40-lite-e-64gb-siyah-akilli-telefon-p-125077651
Samsung Galaxy A51 Pink Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/samsung-galaxy-a51-pink-akilli-telefon-p-125077493
Samsung Galaxy A11 Blue  Akıllı Telefon,Android,2.299 TL,https://www.teknosa.com/samsung-galaxy-a11-blue-akilli-telefon-p-125077673
Samsung Galaxy A21s Blue Akıllı Telefon,Android,2.679 TL,https://www.teknosa.com/samsung-galaxy-a21s-blue-akilli-telefon-p-125077676
Xiaomi Redmi Note 8 Pro 6GB/128GB Gri Akıllı Telefon,Android,3.299 TL,https://www.teknosa.com/xiaomi-redmi-note-8-pro-6gb128gb-gri-akilli-telefon-p-125077365
Oppo A31 64GB Beyaz Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/oppo-a31-64gb-beyaz-akilli-telefon-p-125077554
Samsung Galaxy A11 White Akıllı Telefon,Android,2.299 TL,https://www.teknosa.com/samsung-galaxy-a11-white-akilli-telefon-p-125077675
Samsung Galaxy S20 Ultra 128GB Siyah Akıllı Telefon,Android,10.499 TL,https://www.teknosa.com/samsung-galaxy-s20-ultra-128gb-siyah-akilli-telefon-p-125077527
Xiaomi Redmi Note 8 4GB/128GB Beyaz Akıllı Telefon,Android,3.199 TL,https://www.teknosa.com/xiaomi-redmi-note-8-4gb128gb-beyaz-akilli-telefon-p-125077438
Xiaomi Redmi Note 9 4-128GB Gri Akıllı Telefon,Android,3.299 TL,https://www.teknosa.com/xiaomi-redmi-note-9-4128gb-gri-akilli-telefon-p-125077682
Samsung  Galaxy A31 Black Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/samsung-galaxy-a31-black-akilli-telefon-p-125077602
Huawei Y6 2019 Amber Brown Akıllı Telefon,Android,1.899 TL,https://www.teknosa.com/huawei-y6-2019-amber-brown-akilli-telefon-p-125077105
Xiaomi Mi Note 10 128GB Aurora Green Akıllı Telefon,Android,5.999 TL,https://www.teknosa.com/xiaomi-mi-note-10-128gb-aurora-green-akilli-telefon-p-125077477
Oppo A31 64GB Siyah Akıllı Telefon,Android,2.499 TL,https://www.teknosa.com/oppo-a31-64gb-siyah-akilli-telefon-p-125077553
Huawei P40 Lite E 64GB Mavi Akıllı Telefon,Android,2.799 TL,https://www.teknosa.com/huawei-p40-lite-e-64gb-mavi-akilli-telefon-p-125077652
Huawei P Smart S 4-128GB Kristal Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/huawei-p-smart-s-4128gb-kristal-akilli-telefon-p-125077696
Xiaomi Note 9S 64GB 4-Mavi Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/xiaomi-note-9s-64gb-4mavi-akilli-telefon-p-125077618
Xiaomi Redmi Note 8 4-128GB Mavi Akıllı Telefon,Android,3.199 TL,https://www.teknosa.com/xiaomi-redmi-note-8-4128gb-mavi-akilli-telefon-p-125077362
Xiaomi Redmi Note 9 3-64GB Gri Akıllı Telefon,Android,3.099 TL,https://www.teknosa.com/xiaomi-redmi-note-9-364gb-gri-akilli-telefon-p-125077685
Oppo A5S 3GB Ram 32GB Siyah Akıllı Telefon,Android,2.499 TL,https://www.teknosa.com/oppo-a5s-3gb-ram-32gb-siyah-akilli-telefon-p-125077211
Samsung Galaxy S20 128GB Gri Akıllı Telefon,Android,6.499 TL,https://www.teknosa.com/samsung-galaxy-s20-128gb-gri-akilli-telefon-p-125077521
Samsung Galaxy Note10 Lite Kırmızı Akıllı Telefon,Android,4.499 TL,https://www.teknosa.com/samsung-galaxy-note10-lite-kirmizi-akilli-telefon-p-125077529
Oppo A91 128GB Siyah Akıllı Telefon,Android,3.499 TL,https://www.teknosa.com/oppo-a91-128gb-siyah-akilli-telefon-p-125077548
Samsung Galaxy S20+ 128GB Siyah Akıllı Telefon,Android,7.699 TL,https://www.teknosa.com/samsung-galaxy-s20-128gb-siyah-akilli-telefon-p-125077525
Huawei Y5 2019 Siyah Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/huawei-y5-2019-siyah-akilli-telefon-p-125077155
Xiaomi Redmi Note 9 Pro 6-64GB Beyaz Akıllı Telefon,Android,3.799 TL,https://www.teknosa.com/xiaomi-redmi-note-9-pro-664gb-beyaz-akilli-telefon-p-125077607
Samsung  Galaxy A31 White Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/samsung-galaxy-a31-white-akilli-telefon-p-125077603
